DataPath,Database,Modalities,Model,Stream,MergeAt,MergeWith,Epochs,Batch,Run,Test
/media/mobeen/work/face/ForkCNN-tf2/data,IRIS,"Vis,The",senet50,2,70,concatenate,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,VISTH,Vis,senet50,1,30,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,VISTH,The,senet50,1,30,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,VISTH,"Vis,The",senet50,2,30,addition,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,VISTH,"Vis,The",senet50,2,30,concatenate,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,VISTH,"Vis,The",senet50,2,50,addition,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,VISTH,"Vis,The",senet50,2,50,concatenate,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,VISTH,"Vis,The",senet50,2,70,addition,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,VISTH,"Vis,The",senet50,2,70,concatenate,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,I2BVSD,Vis,senet50,1,30,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,I2BVSD,The,senet50,1,30,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,I2BVSD,"Vis,The",senet50,2,30,addition,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,I2BVSD,"Vis,The",senet50,2,30,concatenate,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,I2BVSD,"Vis,The",senet50,2,50,addition,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,I2BVSD,"Vis,The",senet50,2,50,concatenate,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,I2BVSD,"Vis,The",senet50,2,70,addition,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,I2BVSD,"Vis,The",senet50,2,70,concatenate,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,Vis,vgg16,1,30,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,Ir,vgg16,1,30,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,The,vgg16,1,30,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,VisIr,vgg16,1,30,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",vgg16,2,30,addition,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",vgg16,2,30,concatenate,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",vgg16,2,50,addition,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",vgg16,2,50,concatenate,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",vgg16,2,70,addition,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",vgg16,2,70,concatenate,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,Vis,resnet50,1,30,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,Ir,resnet50,1,30,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,The,resnet50,1,30,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,VisIr,resnet50,1,30,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",resnet50,2,30,addition,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",resnet50,2,30,concatenate,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",resnet50,2,50,addition,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",resnet50,2,50,concatenate,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",resnet50,2,70,addition,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",resnet50,2,70,concatenate,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,Vis,senet50,1,30,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,Ir,senet50,1,30,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,The,senet50,1,30,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,VisIr,senet50,1,30,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",senet50,2,30,addition,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",senet50,2,30,concatenate,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",senet50,2,50,addition,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",senet50,2,50,concatenate,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",senet50,2,70,addition,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",senet50,2,70,concatenate,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,VISTH,"Vis,The",myecm,2,0,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,IRIS,"Vis,The",myecm,2,0,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,I2BVSD,"Vis,The",myecm,2,0,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",myecm,2,0,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,Ir",myecm,2,0,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,VisIr",myecm,2,0,na,300,32,0,0
/media/mobeen/work/face/ForkCNN-tf2/data,IRIS,"Vis,The",modelA,2,50,concatenate,300,32,2,1
/media/mobeen/work/face/ForkCNN-tf2/data,VISTH,"Vis,The",modelA,2,50,concatenate,300,32,2,1
/media/mobeen/work/face/ForkCNN-tf2/data,I2BVSD,"Vis,The",modelA,2,50,concatenate,300,32,2,1
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",modelA,2,50,concatenate,300,32,2,1
/media/mobeen/work/face/ForkCNN-tf2/data,IRIS,"Vis,The",modelB,2,50,concatenate,300,32,2,1
/media/mobeen/work/face/ForkCNN-tf2/data,VISTH,"Vis,The",modelB,2,50,concatenate,300,32,2,1
/media/mobeen/work/face/ForkCNN-tf2/data,I2BVSD,"Vis,The",modelB,2,50,concatenate,300,32,2,1
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",modelB,2,50,concatenate,300,32,2,1
/media/mobeen/work/face/ForkCNN-tf2/data,IRIS,"Vis,The",modelC,2,50,concatenate,300,32,2,1
/media/mobeen/work/face/ForkCNN-tf2/data,VISTH,"Vis,The",modelC,2,50,concatenate,300,32,2,1
/media/mobeen/work/face/ForkCNN-tf2/data,I2BVSD,"Vis,The",modelC,2,50,concatenate,300,32,2,1
/media/mobeen/work/face/ForkCNN-tf2/data,SejongDB,"Vis,The",modelC,2,50,concatenate,300,32,2,1
